index,set,voiced,voiceless,step,underscore,extension,path
189,Brain_Prain_3,B,P,19,_,.mp3,Brain_Prain_3_19.mp3
190,Brayer_Prayer_1,B,P,24,_,.mp3,Brayer_Prayer_1_24.mp3
191,Breliminary_Preliminary_1,B,P,28,_,.mp3,Breliminary_Preliminary_1_28.mp3
192,Bremier_Premier_3,B,P,23,_,.mp3,Bremier_Premier_3_23.mp3
193,Brewery_Prewery_1,B,P,19,_,.mp3,Brewery_Prewery_1_19.mp3
194,Brimal_Primal_3,B,P,27,_,.mp3,Brimal_Primal_3_27.mp3
195,Brior_Prior_3,B,P,26,_,.mp3,Brior_Prior_3_26.mp3
196,Browl_Prowl_3,B,P,22,_,.mp3,Browl_Prowl_3_22.mp3
197,Bry_Pry_1,B,P,26,_,.mp3,Bry_Pry_1_26.mp3
198,Burial_Purial_1,B,P,22,_,.mp3,Burial_Purial_1_22.mp3
199,Burrow_Purrow_3,B,P,17,_,.mp3,Burrow_Purrow_3_17.mp3
200,Bylon_Pylon_1,B,P,21,_,.mp3,Bylon_Pylon_1_21.mp3
