index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
42,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,10,AHG_AHK_3_10.mp3
43,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,5,IHB_IHP_5_5.mp3
44,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,4,IHD_IHT_3_4.mp3
45,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,9,IHG_IHK_5_9.mp3
46,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,5,UHB_UHP_5_5.mp3
47,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,11,UHD_UHT_5_11.mp3
48,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,9,UHG_UHK_5_9.mp3
49,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,8,AAB_AAP_1_8.mp3
50,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,13,AAD_AAT_5_13.mp3
51,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,8,AAG_AAK_3_8.mp3
52,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,7,AHB_AHP_3_7.mp3
53,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,20,AHD_AHT_3_20.mp3
54,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,12,AHG_AHK_3_12.mp3
55,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,7,IHB_IHP_5_7.mp3
56,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,6,IHD_IHT_3_6.mp3
57,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,11,IHG_IHK_5_11.mp3
58,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,7,UHB_UHP_5_7.mp3
59,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,13,UHD_UHT_5_13.mp3
60,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,11,UHG_UHK_5_11.mp3
61,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,12,AAB_AAP_1_12.mp3
62,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,17,AAD_AAT_5_17.mp3
63,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,12,AAG_AAK_3_12.mp3
64,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,11,AHB_AHP_3_11.mp3
65,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,24,AHD_AHT_3_24.mp3
66,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,16,AHG_AHK_3_16.mp3
67,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,11,IHB_IHP_5_11.mp3
68,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,10,IHD_IHT_3_10.mp3
69,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,15,IHG_IHK_5_15.mp3
70,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,11,UHB_UHP_5_11.mp3
71,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,17,UHD_UHT_5_17.mp3
72,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,15,UHG_UHK_5_15.mp3
73,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,14,AAB_AAP_1_14.mp3
74,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,19,AAD_AAT_5_19.mp3
75,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,14,AAG_AAK_3_14.mp3
76,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,13,AHB_AHP_3_13.mp3
77,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,26,AHD_AHT_3_26.mp3
78,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,18,AHG_AHK_3_18.mp3
79,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,13,IHB_IHP_5_13.mp3
80,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,12,IHD_IHT_3_12.mp3
81,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,17,IHG_IHK_5_17.mp3
82,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,13,UHB_UHP_5_13.mp3
83,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,19,UHD_UHT_5_19.mp3
