index,set,voiced,voiceless,type,step,underscore,extension,path,,,,,,,,,
61,dame_tame_1,Dame,Tame,MP,14,_,.mp3,dame_tame_1_14.mp3,,,,,,,,,
62,dare_tear_1,Dare,Tear,MP,17,_,.mp3,dare_tear_1_17.mp3,,,,,,,,,
63,deal_teal_3,Deal,Teal,MP,24,_,.mp3,deal_teal_3_24.mp3,,,,,,,,,
64,doom_toom_3,Doom,Tomb,MP,13,_,.mp3,doom_toom_3_13.mp3,,,,,,,,,
65,dough_toe_3,Dough,Toe,MP,15,_,.mp3,dough_toe_3_15.mp3,,,,,,,,,
66,drain_train_1,Drain,Train,MP,13,_,.mp3,drain_train_1_13.mp3,,,,,,,,,
67,dry_try_3,Dry,Try,MP,19,_,.mp3,dry_try_3_19.mp3,,,,,,,,,
68,gale_kale_1,Gale,Kale,MP,14,_,.mp3,gale_kale_1_14.mp3,,,,,,,,,
69,grill_krill_1,Grill,Krill,MP,26,_,.mp3,grill_krill_1_26.mp3,,,,,,,,,
70,grime_crime_3,Grime,Crime,MP,13,_,.mp3,grime_crime_3_13.mp3,,,,,,,,,
