index,set,voiced,voiceless,step,underscore,extension,path
82,grime_crime_3,grime,crime,19,_,.mp3,grime_crime_3_19.mp3
83,grow_crow_1,grow,crow,14,_,.mp3,grow_crow_1_14.mp3
84,gruel_cruel_3,gruel,cruel,18,_,.mp3,gruel_cruel_3_18.mp3
85,ab_app_1,ab,app,16,_,.mp3,ab_app_1_16.mp3
86,abe_ape_1,abe,ape,20,_,.mp3,abe_ape_1_20.mp3
87,chug_chuck_3,chug,chuck,20,_,.mp3,chug_chuck_3_20.mp3
88,fade_fate_3,fade,fate,16,_,.mp3,fade_fate_3_16.mp3
89,feed_feet_1,feed,feet,18,_,.mp3,feed_feet_1_18.mp3
90,flab_flap_1,flab,flap,20,_,.mp3,flab_flap_1_20.mp3
91,flag_flack_1,flag,flack,20,_,.mp3,flag_flack_1_20.mp3
92,ford_fort_1,ford,fort,20,_,.mp3,ford_fort_1_20.mp3
93,hard_heart_1,hard,heart,20,_,.mp3,hard_heart_1_20.mp3
94,hide_height_3,hide,height,18,_,.mp3,hide_height_3_18.mp3
95,hug_huck_1,hug,huck,17,_,.mp3,hug_huck_1_17.mp3
96,lab_lap_3,lab,lap,19,_,.mp3,lab_lap_3_19.mp3
97,lag_lack_1,lag,lack,11,_,.mp3,lag_lack_1_11.mp3
98,league_leak_1,league,leak,14,_,.mp3,league_leak_1_14.mp3
99,lob_lop_3,lob,lop,16,_,.mp3,lob_lop_3_16.mp3
100,lube_loop_3,lube,loop,16,_,.mp3,lube_loop_3_16.mp3
101,lug_luck_1,lug,luck,17,_,.mp3,lug_luck_1_17.mp3
102,mob_mop_3,mob,mop,19,_,.mp3,mob_mop_3_19.mp3
103,mound_mount_1,mound,mount,18,_,.mp3,mound_mount_1_18.mp3
104,mug_muck_3,mug,muck,20,_,.mp3,mug_muck_3_20.mp3
105,nag_knack_3,nag,knack,20,_,.mp3,nag_knack_3_20.mp3
106,nab_nap_1,nab,nap,12,_,.mp3,nab_nap_1_12.mp3
107,rag_rack_3,rag,rack,18,_,.mp3,rag_rack_3_18.mp3
108,rib_rip_3,rib,rip,19,_,.mp3,rib_rip_3_19.mp3
109,ride_write_3,ride,write,19,_,.mp3,ride_write_3_19.mp3
110,rig_rick_3,rig,rick,17,_,.mp3,rig_rick_3_17.mp3
111,robe_rope_3,robe,rope,19,_,.mp3,robe_rope_3_19.mp3
112,sag_sack_1,sag,sack,18,_,.mp3,sag_sack_1_18.mp3
113,seed_seat_3,seed,seat,18,_,.mp3,seed_seat_3_18.mp3
114,send_sent_3,send,sent,17,_,.mp3,send_sent_3_17.mp3
115,shag_shack_3,shag,shack,19,_,.mp3,shag_shack_3_19.mp3
116,slab_slap_1,slab,slap,19,_,.mp3,slab_slap_1_19.mp3
117,slid_slit_1,slid,slit,20,_,.mp3,slid_slit_1_20.mp3
118,slide_slight_3,slide,slight,18,_,.mp3,slide_slight_3_18.mp3
119,slob_slop_3,slob,slop,20,_,.mp3,slob_slop_3_20.mp3
120,snag_snack_3,snag,snack,19,_,.mp3,snag_snack_3_19.mp3
121,sob_sop_3,sob,sop,20,_,.mp3,sob_sop_3_20.mp3
122,swab_swap_3,swab,swap,17,_,.mp3,swab_swap_3_17.mp3
123,wed_wet_3,wed,wet,16,_,.mp3,wed_wet_3_16.mp3
124,weed_wheat_3,weed,wheat,18,_,.mp3,weed_wheat_3_18.mp3
125,whig_wick_1,whig,wick,7,_,.mp3,whig_wick_1_7.mp3
126,wide_white_3,wide,white,10,_,.mp3,wide_white_3_10.mp3
127,ban_pan_1,ban,pan,13,_,.mp3,ban_pan_1_13.mp3
128,barrel_peril_3,barrel,peril,19,_,.mp3,barrel_peril_3_19.mp3
129,bay_pay_1,bay,pay,15,_,.mp3,bay_pay_1_15.mp3
130,bear_pair_1,bear,pair,14,_,.mp3,bear_pair_1_14.mp3
131,beer_peer_1,beer,peer,13,_,.mp3,beer_peer_1_13.mp3
132,bin_pin_3,bin,pin,16,_,.mp3,bin_pin_3_16.mp3
133,bloom_plume_3,bloom,plume,19,_,.mp3,bloom_plume_3_19.mp3
134,bony_pony_1,bony,pony,9,_,.mp3,bony_pony_1_9.mp3
135,bore_pore_1,bore,pore,18,_,.mp3,bore_pore_1_18.mp3
136,bowl_pole_1,bowl,pole,17,_,.mp3,bowl_pole_1_17.mp3
137,bull_pull_3,bull,pull,17,_,.mp3,bull_pull_3_17.mp3
138,bully_pulley_3,bully,pulley,15,_,.mp3,bully_pulley_3_15.mp3
139,bun_pun_3,bun,pun,13,_,.mp3,bun_pun_3_13.mp3
140,burly_pearly_3,burly,pearly,16,_,.mp3,burly_pearly_3_16.mp3
141,dame_tame_1,dame,tame,15,_,.mp3,dame_tame_1_15.mp3
142,dare_tear_1,dare,tear,16,_,.mp3,dare_tear_1_16.mp3
143,deal_teal_1,deal,teal,13,_,.mp3,deal_teal_1_13.mp3
144,dial_tile_1,dial,tile,17,_,.mp3,dial_tile_1_17.mp3
145,die_tie_1,die,tie,20,_,.mp3,die_tie_1_20.mp3
146,dime_time_3,dime,time,19,_,.mp3,dime_time_3_19.mp3
147,din_tin_3,din,tin,15,_,.mp3,din_tin_3_15.mp3
148,doll_tall_3,doll,tall,16,_,.mp3,doll_tall_3_16.mp3
149,dollar_taller_3,dollar,taller,17,_,.mp3,dollar_taller_3_17.mp3
150,doom_toom_3,doom,tomb,14,_,.mp3,doom_toom_3_14.mp3
151,dough_toe_3,dough,toe,17,_,.mp3,dough_toe_3_17.mp3
152,drain_train_1,drain,train,13,_,.mp3,drain_train_1_13.mp3
153,dry_try_3,dry,try,12,_,.mp3,dry_try_3_12.mp3
154,duel_tool_1,duel,tool,12,_,.mp3,duel_tool_1_12.mp3
155,gain_cane_3,gain,cane,17,_,.mp3,gain_cane_3_17.mp3
156,gale_kale_1,gale,kale,18,_,.mp3,gale_kale_1_18.mp3
157,gallery_calorie_3,gallery,calorie,16,_,.mp3,gallery_calorie_3_16.mp3
158,game_came_3,game,came,10,_,.mp3,game_came_3_10.mp3
159,girly_curly_3,girly,curly,14,_,.mp3,girly_curly_3_14.mp3
160,glue_clue_3,glue,clue,11,_,.mp3,glue_clue_3_11.mp3
161,goal_coal_3,goal,coal,15,_,.mp3,goal_coal_3_15.mp3
162,gore_core_3,gore,core,13,_,.mp3,gore_core_3_13.mp3
163,grain_crain_3,grain,crain,14,_,.mp3,grain_crain_3_14.mp3
164,grew_crew_3,grew,crew,16,_,.mp3,grew_crew_3_16.mp3
165,grill_krill_3,grill,krill,10,_,.mp3,grill_krill_3_10.mp3
166,grime_crime_3,grime,crime,15,_,.mp3,grime_crime_3_15.mp3
167,grow_crow_1,grow,crow,10,_,.mp3,grow_crow_1_10.mp3
168,gruel_cruel_3,gruel,cruel,14,_,.mp3,gruel_cruel_3_14.mp3
169,ab_app_1,ab,app,18,_,.mp3,ab_app_1_18.mp3
